,distribution,distance
0,1.0,0.1
1,0.9917266952439423,1.0499
2,0.9754156675385414,1.9998
3,0.9515408710195876,2.9497
4,0.9207797122296238,3.8996
5,0.8840022628270234,4.849499999999999
6,0.8422088717912702,5.7993999999999994
7,0.7964950850322837,6.7493
8,0.748009918169729,7.699199999999999
9,0.697892244778993,8.649099999999999
10,0.6472478775193449,9.598999999999998
11,0.5970693046725424,10.5489
12,0.5482249470008844,11.4988
13,0.5014339869350983,12.448699999999999
14,0.4572445509617906,13.3986
15,0.41605717855994534,14.3485
16,0.378092933740419,15.298399999999999
17,0.3434350485345138,16.2483
18,0.31206188815667857,17.1982
19,0.28383783924316236,18.1481
20,0.25858979881165495,19.098
21,0.23606993793154926,20.047900000000002
22,0.21602510509886932,20.9978
23,0.19818860004806513,21.9477
24,0.18230357959229715,22.8976
25,0.16814126287526585,23.8475
26,0.15547364509488065,24.7974
27,0.14411583598323968,25.7473
28,0.13390597349928532,26.697200000000002
29,0.12469014403219618,27.647100000000002
30,0.11634316632476673,28.597
31,0.10878247206437196,29.5469
32,0.10193131274913653,30.4968
33,0.09571681784439408,31.4467
34,0.09009789731025775,32.3966
35,0.08502744922488312,33.3465
36,0.0804631733137317,34.2964
37,0.07637937113532445,35.2463
38,0.07273034708387684,36.1962
39,0.06950302955785681,37.1461
40,0.0666483568702349,38.096
41,0.06413949568994685,39.0459
42,0.06192975452133056,39.9958
43,0.05997152543532271,40.9457
44,0.05823411236709418,41.8956
45,0.056662592871554104,42.8455
46,0.055211259658375346,43.7954
47,0.053837462844169244,44.7453
48,0.052494255782922654,45.6952
49,0.05116122420724207,46.6451
50,0.0498023837856044,47.595
51,0.0484016243612632,48.5449
52,0.046946020048032513,49.4948
53,0.04543118114848328,50.4447
54,0.04387188950908319,51.3946
55,0.04227492829477891,52.3445
56,0.04065901063434108,53.2944
57,0.039046802537269165,54.2443
58,0.03745836305557378,55.1942
59,0.0359256789442536,56.1441
60,0.03446695569781538,57.094
61,0.03310532558841176,58.0439
62,0.031855496247104174,58.9938
63,0.030728600707306417,59.9437
64,0.029736100615919,60.8936
65,0.0288753218285688,61.8435
66,0.02814100921691885,62.7934
67,0.02752231810854004,63.7433
68,0.027000448596554625,64.69319999999999
69,0.02656123190373762,65.64309999999999
70,0.0261782460983256,66.59299999999999
71,0.025830458621750478,67.54289999999999
72,0.025491737548859257,68.49279999999999
73,0.025141274617380516,69.44269999999999
74,0.02476390567852826,70.39259999999999
75,0.024344021538215292,71.34249999999999
76,0.023872879964298106,72.29239999999999
77,0.023347220829557622,73.24229999999999
78,0.022766584172810612,74.19219999999999
79,0.022142933539198068,75.14209999999999
80,0.02148302304870875,76.09199999999998
81,0.020803553933558806,77.0419
82,0.02011857914370768,77.9918
83,0.01944545100573702,78.9417
84,0.018800810616926473,79.8916
85,0.018198957348642502,80.8415
86,0.017650889135042782,81.7914
87,0.01716422686911481,82.7413
88,0.016741072200438963,83.6912
89,0.01638500940678846,84.6411
90,0.01608889837603409,85.591
91,0.01584548831765476,86.5409
92,0.015642384669013677,87.4908
93,0.015466274456664144,88.44069999999999
94,0.015303684891300046,89.39059999999999
95,0.015138903226112013,90.34049999999999
96,0.014958445301410406,91.29039999999999
97,0.014750392213748466,92.24029999999999
98,0.014505840128820884,93.19019999999999
99,0.014223638185874752,94.14009999999999
100,0.013902602572737698,95.08999999999999
101,0.013549105968316126,96.03989999999999
102,0.013171386826035516,96.98979999999999
103,0.012781878921653646,97.93969999999999
104,0.012396482521418041,98.88959999999999
105,0.01202850725282653,99.83949999999999
106,0.011691557423349524,100.78939999999999
107,0.011395965388917408,101.73929999999999
108,0.011147855419883869,102.68919999999999
109,0.010953932040055677,103.63909999999998
110,0.010811698205208248,104.58899999999998
111,0.010718036943273503,105.53889999999998
112,0.01066619898747676,106.4888
113,0.010647814287212141,107.4387
114,0.010654946022774833,108.3886
115,0.01067776776107999,109.3385
116,0.010707706517292755,110.2884
117,0.010737283900135867,111.2383
118,0.010759027372452221,112.1882
119,0.010769978761434415,113.1381
120,0.010764307261016811,114.088
121,0.01074025470236421,115.0379
122,0.010692579846489324,115.9878
123,0.010619335011453337,116.93769999999999
124,0.010517880173739265,117.88759999999999
125,0.010385775802361916,118.83749999999999
126,0.01022086972750667,119.78739999999999
127,0.010021995800699478,120.73729999999999
128,0.009787936504549753,121.68719999999999
129,0.009523090037278106,122.63709999999999
130,0.009229180656560657,123.58699999999999
131,0.00891284620143516,124.53689999999999
132,0.008581281011382861,125.48679999999999
133,0.008244591262405902,126.43669999999999
134,0.007914393627722007,127.38659999999999
135,0.007602428375316375,128.3365
136,0.0073202792020343205,129.2864
137,0.0070783714798653115,130.2363
138,0.0068842123841048085,131.18619999999999
139,0.006744627924166716,132.1361
140,0.006660547551815641,133.08599999999998
141,0.006630493146255725,134.0359
142,0.006648661363467845,134.98579999999998
143,0.006706525158104699,135.9357
144,0.006793066397044481,136.88559999999998
145,0.006895220878859694,137.8355
146,0.006999679017227696,138.78539999999998
147,0.007093666752850669,139.7353
148,0.007165834877693018,140.68519999999998
149,0.007209128239997117,141.6351
150,0.00721709254143526,142.58499999999998
151,0.007188385264241074,143.5349
152,0.007122329542312839,144.48479999999998
153,0.007022071870026599,145.4347
154,0.006892376534792866,146.38459999999998
155,0.006738168829976642,147.3345
156,0.006564956604535605,148.28439999999998
157,0.006377781749320803,149.2343
158,0.006180526113271564,150.18419999999998
159,0.0059788204538265815,151.1341
160,0.005775355938812122,152.08399999999997
161,0.0055738734988813755,153.0339
