,distribution,stand
0,0.9809913480622329,0.016666999999999998
1,0.9824421457753485,0.040483332999999996
2,0.9852315909583698,0.06429966599999999
3,0.9888419490746064,0.088115999
4,0.992762055959635,0.111932332
5,0.996337686391082,0.135748665
6,0.99898044100733,0.15956499799999999
7,1.0,0.18338133099999998
8,0.9988573316569884,0.20719766399999998
9,0.9952986032111532,0.23101399699999997
10,0.9889944896556342,0.25483033
11,0.9799067769277034,0.27864666299999996
12,0.9681032628469223,0.302462996
13,0.9539373708446091,0.32627932899999995
14,0.9375933658004586,0.350095662
15,0.9194727087582905,0.37391199499999994
16,0.9001231222006549,0.39772832799999996
17,0.8799022862924442,0.421544661
18,0.8592836820406446,0.44536099399999995
19,0.8386541561382395,0.469177327
20,0.8185480820048221,0.49299365999999994
21,0.7992269642815916,0.516809993
22,0.7809898598793782,0.5406263259999999
23,0.7642315489614455,0.5644426589999999
24,0.749028521687872,0.588258992
25,0.7355390653738727,0.612075325
26,0.723773012093905,0.6358916579999999
27,0.7138087193165216,0.659707991
28,0.7054651562479269,0.683524324
29,0.6986107295204855,0.7073406569999999
30,0.6930747313974017,0.7311569899999999
31,0.6885637977070422,0.754973323
32,0.6849187857865432,0.7787896559999999
33,0.6818178413185491,0.8026059889999999
34,0.6790581790767709,0.826422322
35,0.6762473342650676,0.850238655
36,0.67324787176003,0.8740549879999999
37,0.6697572919926549,0.8978713209999999
38,0.6654896115908483,0.921687654
39,0.6603622427668404,0.9455039869999999
40,0.6541638640740792,0.9693203199999999
41,0.646842401971309,0.993136653
42,0.6383345954581916,1.016952986
43,0.6288151906780707,1.040769319
44,0.6184052689337536,1.0645856519999999
45,0.6072619771658175,1.088401985
46,0.5957262579741532,1.1122183179999998
47,0.584049100467042,1.136034651
48,0.5725577724016755,1.159850984
49,0.5614342680859595,1.1836673169999998
50,0.5510258283939761,1.20748365
51,0.5414427142399051,1.231299983
52,0.5327411348202388,1.2551163159999998
53,0.5249735797992232,1.278932649
54,0.518048703719323,1.302748982
55,0.5118795797503087,1.3265653149999999
56,0.50618144288823,1.350381648
57,0.500796984790148,1.374197981
58,0.49547445076308666,1.3980143139999999
59,0.4899355219605235,1.421830647
60,0.4841007572956265,1.4456469799999998
61,0.4778046532106966,1.4694633129999999
62,0.471057059926569,1.493279646
63,0.4638790640064555,1.5170959789999998
64,0.45649989619716336,1.540912312
65,0.44914880818750413,1.564728645
66,0.44206073941517393,1.5885449779999998
67,0.43559086228258204,1.612361311
68,0.43000015877651077,1.636177644
69,0.42554691053019306,1.6599939769999998
70,0.4223365570602124,1.68381031
71,0.420562695257264,1.7076266429999998
72,0.42015236569617115,1.7314429759999999
73,0.42097752346278716,1.755259309
74,0.42289263803858956,1.7790756419999998
75,0.4256167689481894,1.8028919749999999
76,0.42888119344446357,1.826708308
77,0.43229119428125795,1.8505246409999998
78,0.43556124143080055,1.8743409739999999
79,0.43834161376470254,1.898157307
80,0.44029258087117484,1.9219736399999998
81,0.4412118731898386,1.945789973
82,0.4408506792522823,1.969606306
83,0.4390764213816274,1.9934226389999998
84,0.435783055092344,2.017238972
85,0.43100629295315945,2.041055305
86,0.42479725402253954,2.064871638
87,0.41724716175251414,2.0886879709999997
88,0.4085701185938332,2.1125043039999998
89,0.3989550724517803,2.136320637
90,0.388651784659655,2.16013697
91,0.3778657463022081,2.183953303
92,0.3669324340520061,2.2077696359999996
93,0.35603916265891455,2.2315859689999997
94,0.3453824907764094,2.255402302
95,0.33516125420571563,2.279218635
96,0.325490355300154,2.303034968
97,0.3164800288271827,2.326851301
98,0.30810441030360153,2.3506676339999997
99,0.3003791777647826,2.3744839669999998
100,0.2932288714352647,2.3983003
101,0.28652026440543826,2.422116633
102,0.28017848080674823,2.445932966
103,0.2740497161720377,2.4697492989999996
104,0.268035045630572,2.4935656319999997
105,0.26202424121797807,2.5173819649999998
106,0.2560275639538936,2.541198298
107,0.2500309730606559,2.565014631
108,0.244069071971716,2.588830964
109,0.23826648535945016,2.6126472969999996
110,0.23273613143890373,2.6364636299999997
111,0.22763051137421322,2.660279963
112,0.22305867213943276,2.684096296
113,0.21923050421500836,2.707912629
114,0.21620406212462692,2.731728962
115,0.21402466976724796,2.7555452949999997
116,0.2127239742801772,2.7793616279999998
117,0.21222853415242562,2.803177961
118,0.21244363299768956,2.826994294
119,0.21314410350240168,2.850810627
120,0.21414833250734838,2.8746269599999996
121,0.21517910844732624,2.8984432929999997
122,0.21594017290098608,2.9222596259999998
123,0.21620892096592984,2.946075959
124,0.21572946871145612,2.969892292
125,0.21433854594405619,2.993708625
126,0.21191315199792568,3.0175249579999996
127,0.2084633450000503,3.0413412909999997
128,0.20406019780964396,3.065157624
129,0.1988293001055551,3.088973957
130,0.19301222890387593,3.11279029
131,0.18686845754279272,3.1366066229999996
132,0.18070094460321498,3.1604229559999997
133,0.17477930622881105,3.1842392889999998
134,0.16942596632119097,3.208055622
135,0.16484552724935883,3.231871955
136,0.16120547538942578,3.255688288
137,0.15862443918423497,3.2795046209999996
138,0.1571247760702968,3.3033209539999997
139,0.15668779009442796,3.3271372869999998
140,0.15716870518341863,3.35095362
141,0.15843179904960847,3.374769953
142,0.16026935595793723,3.3985862859999996
143,0.16243942863417443,3.4224026189999996
144,0.16473350941495946,3.4462189519999997
145,0.16691639019304558,3.470035285
146,0.16880239576006673,3.493851618
147,0.17022273004070582,3.517667951
148,0.1710832456007611,3.5414842839999996
149,0.1713244149766581,3.5653006169999997
150,0.1709236831898164,3.5891169499999998
151,0.1699317649098109,3.612933283
