,distribution,speed
0,0.07841563095758902,0.5
1,0.07961652009324346,0.6895
2,0.08211185385393417,0.879
3,0.08582666212507083,1.0685
4,0.0907548450971382,1.258
5,0.09689141675871897,1.4475
6,0.10419784210196366,1.637
7,0.1126436694685362,1.8265
8,0.12220587720245088,2.016
9,0.13286167440648045,2.2055
10,0.14453216891140758,2.395
11,0.15718897563573286,2.5845000000000002
12,0.1708057358186548,2.774
13,0.18532497172043372,2.9635
14,0.200733325461423,3.153
15,0.21693300859860926,3.3425000000000002
16,0.2338579925883304,3.532
17,0.25141376149694566,3.7215
18,0.26941053521775005,3.911
19,0.28765824806714096,4.1005
20,0.305871518820286,4.29
21,0.3237185406569589,4.4795
22,0.34084700281406816,4.6690000000000005
23,0.3568866873005627,4.8585
24,0.37147350860478023,5.048
25,0.384315075161095,5.2375
26,0.3952029694871086,5.427
27,0.4040399144527255,5.6165
28,0.41085651684750835,5.806
29,0.41605013664894475,5.9955
30,0.4195790163784749,6.1850000000000005
31,0.4219533382710869,6.3745
32,0.423595637350483,6.564
33,0.4249397393886316,6.7535
34,0.4263983372974774,6.943
35,0.4283473904619297,7.1325
36,0.4310888627853632,7.322
37,0.4349049107500562,7.5115
38,0.4400472815272469,7.7010000000000005
39,0.4467953513368237,7.8905
40,0.4554413195397781,8.08
41,0.46638076511019433,8.2695
42,0.4800520427888162,8.459
43,0.4969691516721925,8.6485
44,0.5176939309328353,8.838000000000001
45,0.5426308857540485,9.0275
46,0.5720846772130127,9.217
47,0.6061438571979633,9.4065
48,0.644472490561745,9.596
49,0.6864016022685577,9.7855
50,0.7306895254718948,9.975
51,0.775769889912732,10.1645
52,0.8196958497847359,10.354
53,0.8603296281830581,10.5435
54,0.8954986404465164,10.733
55,0.9232499489437588,10.9225
56,0.9419637624029974,11.112
57,0.9507377945950399,11.3015
58,0.9491888114891719,11.491
59,0.9378971669743595,11.6805
60,0.9177531763299395,11.870000000000001
61,0.890535607689799,12.0595
62,0.858325057938043,12.249
63,0.823408318541919,12.4385
64,0.7880202562365056,12.628
65,0.7541928572213853,12.8175
66,0.7235498112726446,13.007
67,0.6973271939294508,13.1965
68,0.6761970041328417,13.386
69,0.6605133725549303,13.5755
70,0.6500516847148676,13.765
71,0.6444942929953456,13.9545
72,0.6433636925987003,14.144
73,0.6461023098813978,14.3335
74,0.6522325993606856,14.523
75,0.6613046339211603,14.7125
76,0.6729641018340978,14.902000000000001
77,0.6869399805371887,15.0915
78,0.7029105457246715,15.281
79,0.7205141248169573,15.4705
80,0.7392695589645006,15.66
81,0.7585720043671635,15.8495
82,0.7776694433055613,16.039
83,0.7957052863714527,16.2285
84,0.811783042832946,16.418
85,0.8250530926689885,16.6075
86,0.8346428395939696,16.797
87,0.8403398509308679,16.9865
88,0.8416143396050033,17.176000000000002
89,0.8386946894601054,17.3655
90,0.8314130049497566,17.555
91,0.8203181037146146,17.7445
92,0.8059343841944057,17.934
93,0.7888707234542267,18.1235
94,0.7697280564306754,18.313
95,0.7491024167722682,18.5025
96,0.7275648612349737,18.692
97,0.7057143794583061,18.8815
98,0.6841714808571546,19.071
99,0.6636674722651029,19.2605
100,0.6450372009369101,19.45
101,0.6292665288581899,19.6395
102,0.6175223756944553,19.829
103,0.6109702961426522,20.0185
104,0.6107626096851616,20.208
105,0.6178861196663524,20.3975
106,0.6329967721667091,20.587
107,0.6563868343491224,20.7765
108,0.6876704414690669,20.966
109,0.7258869239523582,21.1555
110,0.769318034324006,21.345
111,0.8157399474632905,21.5345
112,0.8624098606003762,21.724
113,0.9063555827166117,21.9135
114,0.9445545331357337,22.103
115,0.9742715778807345,22.2925
116,0.9931790335708488,22.482
117,1.0,22.6715
118,0.9939451958104919,22.861
119,0.9754360886609875,23.0505
120,0.9454642967564792,23.240000000000002
121,0.9059709076644599,23.4295
122,0.859384145569205,23.619
123,0.8084345309756186,23.8085
124,0.7558686354295141,23.998
125,0.7042690167142613,24.1875
126,0.6557998870402165,24.377
127,0.612329646606021,24.5665
128,0.5749991174038973,24.756
129,0.5446074009620654,24.9455
130,0.521350333095381,25.135
131,0.5051756816834329,25.3245
132,0.49581295331601566,25.514
133,0.4927571402166578,25.703500000000002
134,0.49546377490250476,25.893
135,0.5033380451924419,26.0825
136,0.5157741919130338,26.272
137,0.5321467363226805,26.4615
138,0.5517649864726348,26.651
139,0.5738624953514329,26.8405
140,0.5975507613645679,27.03
141,0.6218409666586594,27.2195
142,0.6456002321244547,27.409
143,0.6676682901382345,27.5985
144,0.6868818949182391,27.788
145,0.7021617268149456,27.9775
146,0.7124661720671103,28.167
147,0.7175317307439043,28.3565
148,0.7167819073766492,28.546
149,0.7104127164473251,28.735500000000002
150,0.6985486977658996,28.925
151,0.6819304515637055,29.1145
152,0.6614147755775023,29.304000000000002
153,0.6379975360762901,29.4935
154,0.6127197638283993,29.683
155,0.5865978648191961,29.8725
156,0.5606020100277257,30.062
157,0.5356009295398327,30.2515
158,0.5123346654641706,30.441
159,0.4915065028004811,30.6305
160,0.4737099921782876,30.82
161,0.45950873868460784,31.0095
162,0.44943726596028394,31.199
163,0.4439435199757224,31.3885
164,0.4434171835938065,31.578
165,0.4480899287590843,31.767500000000002
166,0.457987861541052,31.957
167,0.4729647602769013,32.1465
168,0.4924609646432519,32.336
169,0.5156960018708525,32.5255
170,0.5413680906631063,32.715
171,0.5680500204915564,32.9045
172,0.5940262053976967,33.094
173,0.6175035980208403,33.283500000000004
174,0.6367269496052871,33.473
175,0.650154316854661,33.6625
176,0.6565206908679149,33.852000000000004
