key,bev_mini,bev_medium,bev_luxury,phev_mini,phev_medium,phev_luxury
0.1,0.9,0.9,0.9,0.9,0.9,0.9,
0.3,0.915,0.915,0.915,0.915,0.915,0.915
0.5,0.81,0.81,0.81,0.81,0.81,0.81
0.7,0.64,0.64,0.64,0.64,0.64,0.64
0.9,0.35,0.35,0.35,0.35,0.35,0.35
