region_id,RegioStaR7,bev_mini,bev_medium,bev_luxury,phev_mini,phev_medium,phev_luxury
71,SR_Metro,676,1538,494,419,953,306
72,SR_Gross,700,1471,418,434,911,259
73,SR_Mitte,1419,3111,968,879,1927,600
74,SR_Klein,352,783,230,218,485,142
75,LR_Zentr,327,704,205,202,436,127
76,LR_Mitte,820,1850,532,508,1146,330
77,LR_Klein,900,2092,595,557,1296,368
