https://meteostat.net/de/;;;;;;;;;;
date;tavg;tmin;tmax;prcp;snow;wdir;wspd;wpgt;pres;tsun
01.08.2020;21,2;13,2;28,8;0;0;105;11,5;25,9;1016,2;802
02.08.2020;20,9;17,8;25,1;3,5;0;263,6;9,6;25,9;1012,1;14
03.08.2020;17,8;15,8;20,7;0;0;334,6;11,7;27,8;1011,5;313
04.08.2020;16,8;12,6;20,6;0;0;339,3;10,4;27,8;1013,5;441
05.08.2020;19,2;11,3;26,6;0;0;176,3;9,6;25,9;1018,1;851
06.08.2020;21,9;14,1;29,1;0;0;123,8;12,5;29,6;1021,2;847
07.08.2020;24,1;17,3;30,6;0;0;95,7;10,7;25,9;1021,9;713
08.08.2020;27;19,4;34,5;0;0;116,1;8,9;22,2;1019,6;814
09.08.2020;26,6;20,2;32,6;0;0;108;9,3;25,9;1017,7;541
10.08.2020;25,2;21,2;29,6;0;0;86,7;10,7;29,6;1017,6;434
11.08.2020;25,3;19,5;31,2;0;0;75,9;14,4;33,3;1019,2;816
12.08.2020;24,2;17,8;30,5;0;0;84,3;13,5;29,6;1019,3;825
13.08.2020;24,4;17,5;31,1;0;0;92,9;11,4;25,9;1014,7;304
14.08.2020;23,5;20,3;27,6;0;0;110,3;9,6;25,9;1012,4;95
15.08.2020;23;17,2;28,8;0;0;57,5;7,1;22,2;1013,6;644
16.08.2020;24;18;30,4;0;0;107,9;13,4;35,2;1014,1;810
17.08.2020;23,5;16,6;30,1;0;0;105,9;12,9;31,5;1010,2;711
18.08.2020;19,8;18,1;21,9;4,1;0;303,9;10,8;24,1;1009,2;162
19.08.2020;19,7;16,5;24,1;2,9;0;317;8,9;24,1;1010,3;552
20.08.2020;22,4;15,6;29,2;0;0;165,5;10,3;29,6;1010,3;406
21.08.2020;25,8;18,7;33,5;0;0;186,4;12;33,3;1010,7;589
22.08.2020;22,7;18,8;24,7;0;0;249,6;12,4;35,2;1012,8;158
23.08.2020;19,6;15,9;23,4;0;0;249,6;15,1;44,5;1013,4;536
24.08.2020;17,5;14,8;20,5;0,4;0;257,5;13,7;33,3;1013,7;313
