type,slow_3.7,slow_11,slow_22,fast_50,fast_150,fast_350,fast_1000,battery_capacity,energy_consumption,vehicle_group
bev_mini,0.05,0.80,0.15,0.30,0.65,0.05,0,60,0.1397,private
bev_medium,0,0.7,0.3,0.3,0.6,0.1,0,90,0.1746,private
bev_luxury,0,0.8,0.2,0,0.85,0.15,0,110,0.2096,private
phev_mini,0.9,0.1,0,1,0,0,0,14,0.1425,private
phev_medium,0.5,0.2,0.3,1,0,0,0,20,0.1782,private
phev_luxury,0.75,0.25,0,1,0,0,0,30,0.2138,private
bev_commercial,0,0.7,0.3,0.3,0.6,0.1,0,90,0.1746,pkw_commercial
phev_commercial,0.5,0.2,0.3,1,0,0,0,20,0.1782,pkw_commercial
bev_light_duty_vehicle,0.75,0.25,0,1,0,0,0,100,0.28,light_duty_vehicle
bev_heavy_duty_vehicle,0,0.8,0.2,0,0.85,0.15,0,300,1,heavy_duty_vehicle
