region,LR_Klein,LR_Mitte,LR_Zentr,SR_Klein,SR_Mitte,SR_Gross,SR_Metro
home, 0.9,0.85,0.7,0.85,0.8,0.6,0.4
work,0.7,0.7,0.7,0.7,0.7,0.7,0.7
probability_detached_home,0.9,0.8,0.7,0.6,0.5,0.4,0.3
